link,model,tuned,select_on,eps_rmse,eps_bias,eps_corr,regret,pct_negative,policy_profit,policy_se,logloss
mixed,gbm (v1),False,regret,1.3435870621723165,-0.47372784611133123,0.6399106026455855,7.780768205787069,0.007893333333333334,86.98320038680475,4.3842332282355985,0.5270605349936255
mixed,gbm (v2: I1+I2+I3+I4),True,logloss,1.8802509543145745,-1.1850271799062104,0.6631638690484207,10.744795434946445,0.31381333333333333,86.87066230787958,4.28732603970244,0.5126870605957665
mixed,gbm (v2: I1+I2+I3+I4),False,regret,1.376421225413785,-0.10551046446499779,0.5481183007999743,3.707527195751548,0.0,85.65379311464868,4.077314723449856,0.5200305591129089
mixed,tlearner (v1),True,logloss,2.902112361414009,-0.11776698075382219,0.45689644901644044,16.23074401217757,0.23186666666666667,81.40941229959218,3.892284402103789,0.5220721472467684
mixed,tlearner (v1),False,regret,1.3234364895737178,-0.5862821944495973,0.6958114934555844,4.809434424787623,0.06736,91.15001712497015,4.6159155083670065,0.5297385105499979
mixed,tlearner (anchored),True,logloss,1.2919165157190322,-0.08862888449102879,0.7297911365013746,6.927691268422987,5.333333333333333e-05,85.54468902613819,4.159024169962981,0.5181835804191249
mixed,tlearner (anchored),False,regret,0.7312334955696461,-0.1964144255518585,0.9032492291278102,3.1847996976929043,0.004373333333333333,89.15155826675858,4.381866542670635,0.5285145852613957
mixed,aipw arm effects,True,logloss,6.059944250473864,0.27935705186223414,0.3494952828086197,11.796280640318937,0.21696,84.25927115862511,4.100518602338582,0.5233792087553174
mixed,aipw arm effects,False,regret,1.4808453697329322,-0.766177503736073,0.632481589524009,7.123380296936667,0.05298666666666667,88.8144736261207,4.587973104922575,0.5905757065974574
logit,glm (v1),False,none,0.844615247820255,-0.3759231470089055,0.8348010156740233,6.44351369571553,0.0,89.25668199198644,4.328515204544767,0.5150042544419589
logit,glm+interactions (v2),False,none,0.8730299150320311,-0.4034516866792095,0.8146906826663672,8.718806204457724,0.0,89.78803547670687,4.433567701180175,0.5151713480248292
logit,gbm (v1),False,none,1.266949829565042,-0.4468423727317046,0.4693574657518001,9.950008962935808,0.0048,88.82543134458173,4.35453213679219,0.5231447743311606
logit,gbm (v2: I1+I2+I3+I4),False,none,1.447706329678175,1.0904122191141163,0.7339461373880591,9.263281292682395,0.0,86.9241331301885,3.8657895292060256,0.5198141681261951
logit,tlearner (v1),False,none,2.1611914531698946,-0.19906427366862456,0.4144184895422733,12.039234960759705,0.19909333333333334,86.85425068935393,4.074689398701069,0.5270194338097949
logit,tlearner (anchored),False,none,1.0029057265840198,-0.1545595655290184,0.7264840026898618,6.638694644892667,0.0,88.34834514199588,4.1892597259296505,0.5244154907534679
logit,aipw arm effects,False,none,3.7961940984746265,0.3943963128817285,0.3997882415720334,12.749273269359351,0.00013333333333333334,85.68469405001348,3.5707768818758083,0.5303732765597228
probit,glm (v1),False,none,1.2482601315106863,-0.5619156664658203,0.8112637321946381,6.354845855351547,0.0,88.69443455669965,4.3098959826543535,0.5174483421394652
probit,glm+interactions (v2),False,none,1.2504910939092684,-0.5571701672077378,0.793693459449811,8.745358839497722,0.0,89.82345527642687,4.428651710946535,0.5175946142230429
probit,gbm (v1),False,none,1.6115200860288579,-0.5575360230193396,0.42086661242283857,10.078433162545796,0.0033066666666666665,89.94509581041744,4.370758071340757,0.5249220609304971
probit,gbm (v2: I1+I2+I3+I4),False,none,1.668631714188893,1.078973163957325,0.7030643078964635,8.164763873935733,0.0,86.47780825041528,3.87802712204202,0.52205510673948
probit,tlearner (v1),False,none,2.274616487601128,-0.33951335558406437,0.40245691989363397,12.7278044141961,0.19357333333333332,87.92548293630982,4.232470101696568,0.5296505260724249
probit,tlearner (anchored),False,none,1.1858733876700174,-0.32584955533829585,0.7194134713844277,6.746452452630513,8e-05,88.55812734119243,4.212597632794369,0.5271319019710855
probit,aipw arm effects,False,none,3.8354656079232394,0.29271746328106474,0.4628075848511511,13.446757027086424,2.6666666666666667e-05,83.6528687206549,3.5141482520546035,0.5326324332829918
kinked,glm (v1),False,none,0.37731881902676256,-0.06303635589000844,0.5164263549498358,0.12085399638576055,0.0,115.26862667043548,5.140822093560522,0.6163557587896793
