elasticity_sd,constraint,num_leaves,weight_cap,mean_eps,sd_eps,true_mean,true_sd,oracle_bias,oracle_rmse,oracle_corr,vus,ceiling,vus_norm,verdict,chance,abs_bias
0.55,isotonic,31,,1.6047368934719406,1.1685368486708676,1.7293856456502246,0.6997233057211034,-0.12464875217828397,1.2333724641763888,0.21367314450303734,0.169636,0.2664306923681939,0.029763567703422134,plausible,0.16666666666666666,0.12464875217828397
0.55,isotonic,127,,1.8011704037538294,1.7122504879050942,1.7293856456502246,0.6997233057211034,0.07178475810360485,1.8280707742767701,0.03535790939540274,0.174114,0.29391205126784137,0.05852733564109626,plausible,0.16666666666666666,0.07178475810360485
0.55,isotonic,31,0.99,1.671538344742171,1.1825039147326362,1.7293856456502246,0.6997233057211034,-0.05784730090805357,1.2119882336502028,0.25522480272635634,0.170852,0.2714822301463668,0.039930456836631226,plausible,0.16666666666666666,0.05784730090805357
0.55,softplus,8,,1.501269894621586,0.7361833534284101,1.7293856456502246,0.6997233057211034,-0.22811575102863846,0.8188360096924946,0.4009932545365685,0.168906,0.25751725154156563,0.024648529631558228,plausible,0.16666666666666666,0.22811575102863846
0.55,softplus,31,,1.335166229776058,0.5681699413102644,1.7293856456502246,0.6997233057211034,-0.39421941587416653,0.8064539999419491,0.3992721646020133,0.165726,0.24865001963052108,-0.01147387405686341,at or below chance,0.16666666666666666,0.39421941587416653
0.55,softplus,127,,0.976977489930951,0.2860627512888479,1.7293856456502246,0.6997233057211034,-0.7524081557192736,0.9850019098092276,0.41799031214588966,0.173538,0.24326457320410788,0.08970654217520446,plausible,0.16666666666666666,0.7524081557192736
0.55,softplus,31,0.99,1.377222882542394,0.5508275200027033,1.7293856456502246,0.6997233057211034,-0.35216276310783057,0.7712008819496052,0.41809680631187474,0.165822,0.25171465279596916,-0.00993164806257109,at or below chance,0.16666666666666666,0.35216276310783057
0.8,none,8,,1.3280950440366615,0.7441527396042287,1.7474652667135437,0.8663040918647146,-0.4193702226768823,1.0873795378895517,0.23091398558114742,0.178072,0.2537882666270792,0.1309128085172432,plausible,0.16666666666666666,0.4193702226768823
0.8,none,31,,1.3779743876488701,1.4810690686590529,1.7474652667135437,0.8663040918647146,-0.3694908790646736,1.612749260809006,0.18690206213997929,0.175398,0.24988289378450199,0.10492344625249174,plausible,0.16666666666666666,0.3694908790646736
0.8,none,127,,0.8412434498947297,2.4842529153357695,1.7474652667135437,0.8663040918647146,-0.9062218168188141,2.7073725102869393,0.09603732446172818,0.174154,0.22996356911790466,0.11828909541191779,plausible,0.16666666666666666,0.9062218168188141
0.8,none,31,0.99,1.3098863798755196,1.4622734908114132,1.7474652667135437,0.8663040918647146,-0.43757888683802415,1.6173068000463464,0.18334790517764124,0.175876,0.2491744885186167,0.11161770031765403,plausible,0.16666666666666666,0.43757888683802415
0.8,isotonic,8,,1.3757477486979643,0.6909568519496375,1.7474652667135437,0.8663040918647146,-0.3717175180155794,1.0429102120198235,0.2325645160010366,0.178072,0.25633348015366636,0.12719681775004693,plausible,0.16666666666666666,0.3717175180155794
0.8,isotonic,31,,1.726130945991166,1.2131312835463393,1.7474652667135437,0.8663040918647146,-0.02133432072237773,1.3582480934833687,0.17973782834217297,0.175398,0.27351056217083014,0.0817204697763299,plausible,0.16666666666666666,0.02133432072237773
0.8,isotonic,127,,1.9343137841033613,1.7781748584494852,1.7474652667135437,0.8663040918647146,0.18684851738981756,1.9137793261122116,0.09242477388825666,0.174154,0.3001044594189398,0.05611104005020194,plausible,0.16666666666666666,0.18684851738981756
0.8,isotonic,31,0.99,1.6845824084155685,1.1727662158367052,1.7474652667135437,0.8663040918647146,-0.06288285829797524,1.3274923605157454,0.1809014427323778,0.175876,0.2728294944887922,0.08674724969424769,plausible,0.16666666666666666,0.06288285829797524
